row ID,row m/z,row retention time,100_MB_CPos2.CDF Peak area,101_GC_Neg.CDF Peak area,102_GC_0.CDF Peak area,103_GC_Pos.CDF Peak area,104_GC_2.CDF Peak area,105_GC_A.CDF Peak area,106_GC_1.CDF Peak area,107_GC_C.CDF Peak area,108_GC_B.CDF Peak area,109_QC.CDF Peak area,10_GC_Neg.CDF Peak area,110_QC.CDF Peak area,11_GC_0.CDF Peak area,12_GC_Pos.CDF Peak area,13_GC_2.CDF Peak area,14_GC_A.CDF Peak area,15_GC_1.CDF Peak area,16_GC_C.CDF Peak area,17_GC_B.CDF Peak area,18_MB_CNeg0.CDF Peak area,19_MB_CNeg2.CDF Peak area,20_MB_APos2.CDF Peak area,21_MB_BPos1.CDF Peak area,22_MB_APos1.CDF Peak area,23_QC.CDF Peak area,24_MB_ANeg0.CDF Peak area,25_MB_CPos2.CDF Peak area,26_MB_BPos0.CDF Peak area,27_MB_CNeg0.CDF Peak area,28_MB_APos2.CDF Peak area,29_QC.CDF Peak area,30_MB_ANeg1.CDF Peak area,31_MB_APos2.CDF Peak area,32_MB_APos0.CDF Peak area,33_MB_CNeg0.CDF Peak area,34_MB_BPos0.CDF Peak area,35_QC.CDF Peak area,37_GC_Neg.CDF Peak area,38_GC_0.CDF Peak area,39_GC_Pos.CDF Peak area,40_GC_2.CDF Peak area,41_GC_A.CDF Peak area,42_GC_1.CDF Peak area,43_GC_C.CDF Peak area,44_GC_B.CDF Peak area,45_MB_APos0.CDF Peak area,46_MB_BPos2.CDF Peak area,47_MB_ANeg1.CDF Peak area,48_MB_CNeg2.CDF Peak area,49_MB_CPos0.CDF Peak area,50_QC.CDF Peak area,51_MB_CNeg2.CDF Peak area,52_MB_CNeg1.CDF Peak area,53_MB_BPos1.CDF Peak area,54_MB_APos1.CDF Peak area,55_MB_BNeg0.CDF Peak area,56_QC.CDF Peak area,57_MB_APos1.CDF Peak area,58_MB_ANeg2.CDF Peak area,59_MB_BPos2.CDF Peak area,60_MB_CPos2.CDF Peak area,61_MB_BNeg1.CDF Peak area,62_QC.CDF Peak area,64_GC_Neg.CDF Peak area,65_GC_0.CDF Peak area,67_GC_2.CDF Peak area,68_GC_A.CDF Peak area,69_GC_1.CDF Peak area,69_GC_Pos.CDF Peak area,70_GC_C.CDF Peak area,71_GC_B.CDF Peak area,72_MB_ANeg2.CDF Peak area,73_MB_BPos2.CDF Peak area,74_MB_CPos0.CDF Peak area,75_MB_BNeg1.CDF Peak area,76_MB_ANeg1.CDF Peak area,77_QC.CDF Peak area,78_MB_APos0.CDF Peak area,79_MB_BNeg1.CDF Peak area,7_QC.CDF Peak area,80_MB_CPos1.CDF Peak area,81_MB_BPos0.CDF Peak area,82_MB_ANeg0.CDF Peak area,83_QC.CDF Peak area,85_MB_BPos1.CDF Peak area,86_MB_CNeg1.CDF Peak area,87_MB_BNeg2.CDF Peak area,88_MB_CPos1.CDF Peak area,89_MB_BNeg0.CDF Peak area,8_QC.CDF Peak area,90_QC.CDF Peak area,91_MB_CNeg1.CDF Peak area,92_MB_CPos0.CDF Peak area,93_MB_BNeg0.CDF Peak area,94_MB_ANeg0.CDF Peak area,95_MB_BNeg2.CDF Peak area,96_QC.CDF Peak area,97_MB_ANeg2.CDF Peak area,98_MB_CPos1.CDF Peak area,99_MB_BNeg2.CDF Peak area,4_Blank.CDF Peak area
1,0,3.06,76110.06916870577,71743.90232821032,75396.95460321868,77817.83885337322,77637.10529957527,78367.46415507066,46783.26473146586,78431.94683704589,76096.02074802385,75591.65792126066,51781.60425725018,77971.88384323566,82160.20156363145,82533.95122360402,79600.65539805773,79834.15295462769,75271.76272361964,66931.94506570522,67322.62397402828,66437.69359869338,74410.18501974359,82647.08348606803,77778.91200544976,76830.92628324483,74391.40215571309,81358.19042997563,78734.94028288749,72818.78573293459,70470.7336684818,65690.33029614005,75889.55922807433,72619.39559333073,76759.97159732983,71396.7484666309,77014.42077518054,76656.21178807139,81083.14153842213,77767.52639025784,68864.80328814343,77858.14066778813,64022.85101720347,71940.97829125017,64711.686415146934,63073.32593316599,71179.86859357105,68105.34073339589,50626.898873550774,65757.95161586504,73076.97210632548,65743.61561322067,65374.63202264957,68024.56817437112,73855.81027102827,76266.69672945359,75403.98667842401,73176.1062624905,69680.86455016426,79315.67861458303,69945.5121939661,63019.774736740976,61383.7255327453,73289.5548133699,73719.08155181013,73484.27321427701,64396.06759941388,65856.94558767098,67344.13249218074,62878.127464909405,61613.56635182117,72144.61502062148,83916.63512243112,79556.5232211506,76048.68801656086,78162.8739246594,70922.93923784218,84612.31088696801,81623.48043291747,75580.77246324872,76648.92833139535,40438.29292496575,77388.71539939198,79033.1172162118,80268.80500342947,77138.81865931916,79967.89171982567,74865.48434620924,74496.86837947325,71889.27485371943,70364.83220275247,79405.41257730682,74154.39823996247,74657.95403537572,81828.50992309558,78964.0181620294,80140.81789920536,80471.84661144656,83981.6651661108,82333.4325659218,75091.79373358478,78534.38278236269,41538.5125727864
2,0,3.09,4918.959295605141,4054.738508865697,5187.661193535137,4268.5466408496195,5265.932262707415,5450.5564305023545,0.0,5469.336409400622,4612.333794921671,3532.0134683200085,4569.843431806161,3096.4645819790812,5871.017628822577,5935.194920035572,5396.602971432077,6021.766547309959,6961.543368229015,5589.129546852636,6001.6219534755555,5642.270289734619,6203.704078970263,5177.412867913143,5413.747262593859,4535.588625732817,5049.277124872389,5050.905326313728,5405.767249513509,5085.141752792296,4740.352612220941,5575.887598978218,5760.42935828276,5812.377088681678,6252.708116034342,5048.416179984577,4682.1312035750625,0.0,5717.543085811836,5370.869663002916,5393.388769126427,6048.279491383602,5800.901047335755,5167.3613471302915,6869.930101854184,5404.688831136671,6188.177476686021,5681.540600590847,4698.364376414149,4027.252442174071,6403.102567071569,5651.346601083214,6074.071417952111,5497.791225865105,5805.232963355235,6071.806463492964,4609.076086339493,4832.813037640047,5793.8408849341295,5090.921976394519,5388.706586292077,5158.962932650703,5357.920488562647,6578.069974278601,5846.8474369794885,5408.561816250388,5505.247594392406,5506.2896156712695,6165.7131426487695,5614.938458757233,5734.651302070601,5199.3505773886745,5786.191403772437,5643.465845411904,4330.497846120884,6305.9066247387345,5655.010134736482,5799.05552534117,5760.4359989363475,5015.704641585829,6361.722552116149,86.86535514438455,5472.453918022301,5037.895912073303,4905.5111045198655,5734.210057994512,5605.767981221044,5090.741548813867,5179.45055828469,4430.330632804148,4418.22354923623,4874.112259040829,5417.4907189612295,6473.183965931878,4578.860640341272,5113.584525029733,4902.564667735334,4693.899013187453,5195.007987387837,5341.660628975539,5197.926937585228,5260.552452830509,0.0
3,0,3.09,0.0,1285.2952942697398,1.7524145432965283,2183.465654624218,3715.2022442897082,4748.137721365109,575.3472910709232,0.0,0.0,5.0770121870644385,0.0,2695.765383588001,3656.2933025529774,0.0,0.0,0.0,0.0,3442.593312576178,0.0,4.819482636521572,2.653506165944773,0.0,0.0,2961.573849013378,0.0,3893.2061122173855,4360.760221878903,0.0,0.0,4.2184852654801945,0.0,19.10261711388921,1.9707961292170293,0.0,2742.957454194999,3999.682182586839,4152.652918079154,0.0,3240.304815453329,0.0,3401.0611271987627,4.889007637610599,0.0,0.0,0.0,0.0,1785.3116180751178,0.0,0.0,0.0,0.0,0.0,0.0,2750.9081569334917,0.0,0.0,0.0,0.0,3459.8392939233026,0.0,0.0,8.060307284506225,0.0,0.0,44.202250811044294,1.2230603596624874,0.0,5192.349319547151,0.0,3564.4161396345867,0.0,0.0,2198.115193034567,0.0,4516.922756891816,5237.830643115955,0.0,4887.657896279717,13.481887060795565,20.902026365388068,0.0,3586.2081520967204,2223.0429830596618,5417.580117319967,3764.39797217252,3224.750439159336,0.0,0.0,0.0,0.0,4389.9624670893545,0.0,5320.713374396424,4443.300834192238,2511.161268575776,5385.474882345395,3585.4787468601844,4878.5808251315475,0.0,3771.482970141718,6595.614164323867
4,0,3.09,9.858896480107932,1936.5162184322076,0.0,1303.6618842919784,6.920686611186925,9.185337828481051,5.391589121004238,4.632267269137075,7.485490953468737,0.0,0.0,0.0,0.0,2.009142612299995,5.700073809536357,0.0,0.0,0.0,0.0,0.0,0.0,4.309601969993573,0.0,9.414999193950402,0.0,0.0,0.7728602360144721,3605.166741987055,0.0,0.0,0.0,32.36868424378848,0.0,17.224875178643448,0.0,3843.286326367696,1.7055915804401254,9.231110606373985,5.559806936808032,25.89855136173632,12.678530107028775,6.056347563841275,0.0,0.0,11.79379441229051,0.0,0.0,11905.923338702129,0.0,590.9491322897661,11.664158997378788,3.0856296801691787,19.58291134233276,8.844245807021812,16.63658659820835,1534.2953108936692,6.086492409637446,0.0,0.0,0.0,0.0,3.8883107432641952,5.799277703938318,12.54690164180066,0.0,0.0,18.93358615303706,19.09958462897666,0.0,0.0,3.514321427900414,0.03940465093630485,0.0,1741.4041301113418,2.2452545529290107,17.368557237820944,2.8014323333108937,5.590252339330215,14.316192344599788,0.0,0.0,3986.2486195774763,5.279993045399922,0.0,0.0,5.691308337239932,17.738956623975078,9.209398853854534,7.544457796992973,0.0,0.0,11.230031513494058,8.435769613476577,14.148222354219525,12.923804715786321,0.0,0.0,13.484706884947725,3010.661863542436,10.051780985289145,0.0
5,0,3.14,222110.41009601954,0.0,111965.95510416538,9.467626058114066,6.6225858096595775,4.252288567110063,142664.41803945773,122149.18319298125,250.67195486294258,79670.12122795699,46293.63799419474,82656.18578737121,29664.658495469448,93874.30363553278,84138.71911345681,41972.706827576825,90114.69623237057,87515.48519423643,79164.64896354778,109721.03173742164,91086.49641201687,50.144654738196316,122130.78929670359,11323.475942497644,72026.82886210764,10.505033354622435,196846.98915763898,88.00396265604674,137079.69256017506,272.888792106016,67904.78417415803,88.5203515688693,79.04657886538702,27448.753052319826,111700.62357316203,6.319854326562973,50364.66605958984,49141.786629049384,31880.68801690989,94791.6800517962,96531.36905523873,27387.9955927298,82649.31132079447,95795.15823512783,84994.45092003146,43844.58896511342,10.553462663079912,83.23893575257173,89029.94518712748,87.77982368258495,66495.76973247173,129935.86035294314,99256.27214731787,83204.90614854952,47402.186849231985,189.24566828063456,68825.8125841251,10362.9954188267,108580.17627444716,91.13035343675129,218525.52210002593,352645.3381875768,69127.79258272008,22574.917998678062,28953.94795086664,105049.1809461001,41652.92265953555,94062.03752815357,98152.18396768963,92230.01891319301,75795.42681744207,93377.01999805591,18.174649452868728,69.98021273117925,257860.2917709679,6763.5902988051785,50684.37609077452,28891.395268375214,304939.52434580505,73602.11712851662,88.12336574142977,5.280381738096008,8.164678018406173,58865.20620135543,97170.37484951307,107815.64545458903,131509.87464488338,7091.6846734476785,99.52268107865544,52459.14841661455,74364.25613457405,52166.41655309277,843.0321869728351,3.976113944551284,27.22109824984703,114666.80913230329,67095.48005938853,107216.05372706732,115.52994761605163,134722.28273655614,11.913245038339607
6,0,3.25,0.0,429.864729546409,103.96841659476142,79.04895474736094,525.1062453576429,925.1350423045508,15.970751835303115,495.7116562143248,101.05029931392056,271.0273503912933,360.39635410035066,0.0,414.651662147386,74.12219914218035,247.7004807237028,1740.8859033855867,107.99204872494265,85.78858949423717,155.73854167967085,56.99975220005661,0.0,55.549910129212314,314.30470220805904,23.397464116005434,0.0,1859.0891732649939,73.09215754139144,49.25058081582589,114.45135130114694,313.53849995967516,14.61307853895116,629.2849487667771,127.27346327653606,318.6086792674256,115.409776445856,43.47169280475611,3124.3172140944985,59.09500169696297,0.0,639.6441868830939,662.9525299759192,1312.2404912609363,210.33781373082672,155.5909827481954,438.36770856165685,391.16750597587486,3421.395533686806,16.554817485764993,367.4512541497601,25.113804306560038,24.204644053640234,15.624754283637321,96.27389852395322,146.90600512006566,0.0,42.38455698756811,874.1722296983203,2873.17245479676,0.0,0.0,0.0,14.611747783951955,57.99459346719028,294.43994901750716,512.7684406019381,663.221907705543,148.9655364462086,1634.844022283366,547.113805589718,50.28490419424725,65.82501202938798,164.89065688868232,383.0674329369567,0.0,236.95616209100362,95.280728814046,586.8191332519443,139.19674618572895,228.58766409336997,717.0320310500205,407.7858167971849,37.978336044383475,148.6991048664724,487.61883837261183,0.0,234.72357281623368,29.726066304810427,70.72039978647716,1156.3371498590586,53.78152994662183,239.4100557786935,36.601977350231685,98.17417713331123,38.59965563544896,288.6982842088747,267.81533833938454,339.26456646453215,344.91546241999896,409.8711310376374,0.0,0.0
7,0,3.25,0.0,98.82402186995155,0.0,0.0,389.99913273619524,1054.9041407578163,133.08478190931,0.0,684.5178120384634,0.0,0.0,0.0,54.76940282597229,237.2235458609459,313.7529701541271,0.0,462.3524170425161,0.0,0.0,520.3739164684923,306.8184947574615,189.2469277556659,1022.3537161679824,135.35602991423443,0.0,11.438139839524062,154.20704720239812,290.29210111781623,786.0857724877495,24.554354836135758,405.64406174614754,0.0,413.8960006716494,446.1926469946706,709.4977452521484,150.93043440637652,0.0,274.32933603961135,331.3739390760024,98.87785055044044,0.0,0.0,117.55759109185267,0.0,0.0,0.0,721.0827191885112,288.99337926949903,0.0,0.0,533.2390571277533,0.0,574.3255493842597,226.0691403512671,1741.523031650968,12.16822629262486,787.1798400560523,0.0,0.0,123.9615655072657,0.0,123.75826273541165,0.0,632.7539753416818,0.0,0.0,0.0,0.0,140.45088544373067,933.3132154022096,69.76337787488157,592.9796103099626,0.0,275.6340078401761,113.7763772775096,324.89137173593366,0.0,18.9694628754662,50.97418506853242,0.0,0.0,0.0,140.21296221444598,377.930865412135,1264.5639372363714,14.644890012394256,247.7082539378336,53.423016652906114,501.0339183196495,0.0,375.6008374989276,0.0,0.0,0.27615111776947376,297.48997595598684,0.0,0.0,139.37409014244682,993.5632061657112,0.0,8722.908417464581
8,0,3.25,5562.43013367985,0.0,0.0,2.813771687061165,495.97730742077744,259.0677695422501,0.0,0.0,3.314517372009841,0.4517094713216761,0.0,731.0540306088417,0.11230225513022699,0.4675154804149573,2.9529780520670954,0.0,0.5757696773531671,1.5124833156821749,0.05212946856539217,2.665231049194148,0.0,0.1841874124509404,5.069153936056544,0.0,0.0,0.0,164.74337739430402,0.0,217.7365722892088,0.7011454494684005,2.500900531003763,5.159406281108296,3.4867427818053573,3454.863746947811,202.3420329817414,0.0,0.0,2.6975030113472434,1.4249260503632801,971.508856598551,8.751741496208366,0.0,0.0,1.0386836889643534,0.0,126.75907104521063,0.7369931102586721,1.1716719927760972,0.0,0.0,1274.045904030225,129.94947031545843,2.9802499805130203,0.0,198.49626238582485,1.0916055761799064,2.970190617808221,0.662389986765591,0.0,453.8730962936749,0.0,0.0,0.7300141834306242,2.419488809323948,2.566904743761181,0.7173155237997022,10.685530987836911,173.67140228176856,0.0,5.167923025563353,0.044646736661316765,3.1780503255248,190.5975531830436,0.0,2.26134668540814,2.3522603435022957,127.44608115139536,0.0,149.31431993777375,0.0,700.1603908307487,0.0,0.0,86.53365552643223,466.877757819988,0.0,0.0,0.0,1.4855540537129008,0.0,2.3659405001398977,0.0,5.6488808770680174,0.8931039972117298,256.82791659948447,0.0,7.725839762596911,0.0,300.7640658428745,0.0,0.0
9,0,3.25,0.0,1282.5235320473034,0.0,0.0,1.5392231368275835,0.0,1.996441619183464,0.0,8.884584380764537,0.0,0.0,0.0,0.0,2.1961895065665624,1.7821095363006982,0.0,3.04170868596697,0.0,0.0,0.0,0.0,2.758997659884891,1.3252594342420247,0.0,1164.3451529677259,0.5439576309213531,2.472651752787828,4.308990130359878,10.764521020992394,0.0,0.0,2.0320255454576115,1.0601776256679338,0.0,4.862366404123226,2.238118007858932,0.0,0.0,0.0,0.0,0.0,3.6055263668014814,1.7224900258796298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6355148001620952,0.0,3.546042759687538,0.0,0.0,0.0,0.0,0.0,1.8403712806838195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44968216219128493,5.636536239053795,0.0,0.0,0.13131421295236825,0.0,0.0,0.0,1.4047777050707049,3.8297850221981142,0.0,0.0,3.715940023208332,4.201310683070692,2.536529389096457,0.0,0.0,0.0,0.0,0.0,1.7180164835140337,0.0,0.0,2.056303211130324,5.730574922409133,2939.659413895221,0.0
10,0,3.29,3470.873431844579,14.098186727933376,2927.4692411316955,2467.2602154148667,3781.644656575932,2371.273550767157,1981.9807270929168,769.1752221307687,1845.736041779892,453.5888599882998,2076.8242238326043,95.08899311003044,1699.0282351520361,3198.8617611518107,2117.5783003833067,1838.8894031534296,2239.706082123624,1286.8134242614638,719.2838316242927,1568.998595811532,3241.320186915963,2374.5040287645347,3173.0824505242363,2553.9755145318586,12.661437666418452,2148.3450670061875,3251.758950881192,3266.5053150065405,1364.1408169767492,2477.444702581949,2837.8713577067747,2461.328400963309,2532.097195956645,2164.626042965484,1927.8400250444968,1809.793489738935,2602.900855157509,3073.7143084511717,2454.328338641445,2472.1339584970274,2372.2054791337964,3146.8918870035327,1043.1666042288189,3154.1944922145617,302.4669692164472,3024.146492647563,2949.3966020173716,1453.1951498946466,3215.749659109982,1885.6614731135287,2781.115122467464,1609.8335368125424,2315.326036375691,2091.4385681424633,1680.875898676475,1989.3835163470865,2658.607415482764,3392.0439645125093,2976.172426565392,2322.0362668154075,1755.43861939939,3693.9946887450055,2904.4446184079493,3044.3158755624013,2732.8061902860377,2621.429729487209,1858.8608418577835,2996.73481484755,3617.045555506574,1575.9516555435687,3349.3833740734385,2936.2477427079502,1935.337288231121,1531.6578088079032,1484.107584020373,2205.405499732356,3185.511922146853,2808.231961663616,3145.1257306303137,2109.049622996304,3692.674357357696,2053.413909968868,3505.030691717285,3966.6589190706395,1778.5857344730264,1919.5799509875205,1378.4289097614676,2034.7488598123628,1935.2050320122046,1365.9115987926637,1634.3966431218353,872.1266860195926,6.487532686569098,911.2754893864598,1502.1522594841779,2282.745197425795,1813.116093157052,1376.2426600895233,2778.6750473078987,0.0,237.28499961594625
