"","AlignID","Factor","tmean","FoundIn","4_Blank","109_QC","110_QC","23_QC","29_QC","35_QC","50_QC","56_QC","62_QC","7_QC","77_QC","8_QC","83_QC","90_QC","96_QC","10_GC_Neg","100_MB_CPos2","101_GC_Neg","102_GC_0","103_GC_Pos","104_GC_2","105_GC_A","106_GC_1","107_GC_C","108_GC_B","11_GC_0","12_GC_Pos","13_GC_2","14_GC_A","15_GC_1","16_GC_C","17_GC_B","18_MB_CNeg0","19_MB_CNeg2","20_MB_APos2","21_MB_BPos1","22_MB_APos1","24_MB_ANeg0","25_MB_CPos2","26_MB_BPos0","27_MB_CNeg0","28_MB_APos2","30_MB_ANeg1","31_MB_APos2","32_MB_APos0","33_MB_CNeg0","34_MB_BPos0","37_GC_Neg","38_GC_0","39_GC_Pos","40_GC_2","41_GC_A","42_GC_1","43_GC_C","44_GC_B","45_MB_APos0","46_MB_BPos2","47_MB_ANeg1","48_MB_CNeg2","49_MB_CPos0","51_MB_CNeg2","52_MB_CNeg1","53_MB_BPos1","54_MB_APos1","55_MB_BNeg0","57_MB_APos1","58_MB_ANeg2","59_MB_BPos2","60_MB_CPos2","61_MB_BNeg1","64_GC_Neg","65_GC_0","66_GC_Pos","67_GC_2","68_GC_A","69_GC_1","70_GC_C","71_GC_B","72_MB_ANeg2","73_MB_BPos2","74_MB_CPos0","75_MB_BNeg1","76_MB_ANeg1","78_MB_APos0","79_MB_BNeg1","80_MB_CPos1","81_MB_BPos0","82_MB_ANeg0","85_MB_BPos1","86_MB_CNeg1","87_MB_BNeg2","88_MB_CPos1","89_MB_BNeg0","91_MB_CNeg1","92_MB_CPos0","93_MB_BNeg0","94_MB_ANeg0","95_MB_BNeg2","97_MB_ANeg2","98_MB_CPos1","99_MB_BNeg2"
"123",124,"Factor #124",9.049,101,48.08517,35.42592,54.55588,285.8331,184.0715,139.7767,142.9643,96.9283,86.48244,1458.583,115.0189,1163,85.20034,62.28588,79.17861,1364,213.2779,46.35799,13.40004,79.78261,19.6037,18.28173,15.05821,23.6602,75.98554,613,255.5195,710,571,369.8347,602,307.491,1124.742,76.17323,194.9465,13.40491,632,235.2238,1004,51.69565,565,134.3838,164.1982,149.0999,417.5855,426.8173,15.83005,226.8009,155.631,61.70596,156.3874,145.1507,101.0623,147.0141,67.3306,248.3561,1058,274.2848,44.68461,111.8376,25.77579,37.47826,32.10608,288.6712,95.49214,340.6743,31.76824,760,461.304,15.79331,204.1602,115.2053,40.83765,142.8748,144.2899,60.97195,95.20901,54.5903,33.54759,815,102.3856,35.34488,49.35039,159.6916,17.0117,130.2267,11.64991,60.66535,12.80015,44.50453,25.50999,119.1832,72.02418,42.48201,58.86957,25.31206,32.89098,21.41644,22.62498,77.78222,16.89797
"124",123,"Factor #123",9.0501,101,47.39279,36.24537,57.47826,285.8331,184.0715,139.7767,142.9643,96.9283,86.48244,1539,115.0189,1050,85.20034,53.54675,79.17861,1344,213.2779,46.93703,16.64505,79.78261,25.4091,22.7822,17.68754,24.28131,68.48389,676,255.5195,717,526,360.9652,602,307.491,1154,76.17323,194.9465,15.96052,678,235.2238,839,51.69565,528,133.7751,164.1982,148.5782,401.5855,412.4695,16.54568,226.8009,155.631,61.70596,167.5178,145.1507,101.0623,138.3619,67.3306,248.3561,1148,226.9804,44.68461,98.91879,26.15993,37.47826,32.51048,288.6712,95.49214,340.6743,11.6597,773,461.304,15.79334,204.1602,108.3357,40.96516,142.8748,144.2899,62.05692,95.20901,54.5903,10.54183,886,102.3856,35.40445,50.93923,159.6916,26.11735,130.2267,14.5596,40.56172,15.16264,44.54129,18.56148,119.1832,77.61005,36.81593,58.86957,25.4693,33.74748,14.84227,22.67905,77.78222,35.81241
"125",125,"Factor #125",9.0623,101,47.55999,44.69899,52.04368,285.8331,184.0715,141.9506,142.9643,96.9283,86.48244,916,115.0189,939,85.20034,62.28588,91.61339,703,213.2779,33.04764,3.33378,79.78261,8.275049,11.88061,22.13596,21.65591,75.98554,646,255.5195,562,493.4403,369.8347,638,307.491,702,76.17323,194.9465,8.250587,509,235.2238,582,51.69565,542.6811,134.3838,164.1982,149.0999,417.7595,426.8173,38.58936,226.8009,155.631,61.70596,167.5178,145.1507,101.0623,147.0141,74.6025,214.4865,1148,285.763,49.29331,115.0521,10.60976,16.65052,31.85289,288.6712,46.89405,340.6743,25.55955,591,461.304,20.44979,204.1602,115.2053,55.55297,142.8748,144.2899,60.34248,104.0351,54.5903,7.325244,842,102.3856,34.64362,48.10123,159.6916,19.11799,140.4425,28.85601,19.47967,7.985285,44.35206,9.562505,119.1832,67.4668,30.85517,61.69565,52.47204,32.57743,39.59914,22.25693,77.78222,15.54049
"126",127,"Factor #127",9.6648,101,37.07646,784,920,1015,1209,942,1046,1021,649,962,941,986,858,826,800,679,1402,511.5731,592,511,435.9285,931,527,263.0763,629,592,1433,759,714,816,753,1441,817,426.6549,1395,239.3355,551,1360,1549,374.518,801,1339,673,1436,688,889,354.0568,720,675,1136,770,755,1346,706,1360,514.8821,574,722,293.4918,560.6614,504.609,605,97.83667,628,521.4762,553.7612,338.143,656,1497,5270.922,694,535,1140,862,777,1459,891,1302,268.7161,759,518.0809,3608,537.7841,510.5773,3274.018,845,333.6324,826,107.8029,605,427.1549,869,497.8516,594.0982,537,377.4752,1048,486.8145,287.4356,655,448.3989
"127",126,"Factor #126",9.6649,101,37.04348,898,946,1019,1192,949,928,1014,1047,1092,939,1044,946,851,865,726,1402,503,594,659,435.9285,1067,532,263.0763,784,654,1433,878,774,1962,916,1610,878,426.6549,1471,239.3355,691,1550,1411,374.518,911,1339,729,1393,811,845,354.0568,723,610,1210,781,770,1455,882,1360,503,620,764,293.4918,550,504.609,630,97.83667,638,521.4762,542,338.143,643,1505,5710,754,718,1206,862,804,1459,827,1250,268.7161,645,518.0809,3608,529,510.5773,3859,826,333.6324,834,107.8029,700,427.1549,849,497.8516,576,603,377.4752,993,486.8145,287.4356,589,448.3989
"128",129,"Factor #129",9.6669,101,37.04348,907.4736,777,805,827,718,944,698,714,706,582,585,957.3857,898.2023,852,718.7705,516,511.5731,620.8096,693.7465,435.9285,580,548.6227,263.0763,794.8306,696.3542,1391,721.3865,714.812,1398.446,893.0811,654,585,426.6549,1325,239.3355,721.4445,648,1057,374.518,559,1350.796,646,870,771,516,354.0568,753.7725,687.1715,744,549,647,628,895.7676,897,514.8821,633.3494,747,293.4918,560.6614,504.609,639.805,97.83667,649.2498,521.4762,553.7612,338.143,671.4569,1283,4961.139,763.6166,731.3197,510,577,602,843,911.6886,816,268.7161,809.8105,518.0809,3288.386,537.7841,510.5773,2132.356,666,333.6324,568,107.8029,708.5545,427.1549,880.5241,497.8516,594.0982,620.6856,377.4752,936,486.8145,287.4356,665.1003,448.3989
"129",131,"Factor #131",9.6674,101,37.04348,907.4736,961.7694,1032.733,997.0063,962.7323,1020.126,884.0021,1013.35,682,944.6773,1095.176,957.3857,898.2023,877.0916,718.7705,1336.057,508.926,620.8096,693.7465,435.9285,1075.61,540.4488,263.0763,794.8306,637.8654,1119,800.5119,702.1662,1398.446,893.0811,1395.878,891.4378,426.6549,1178.623,239.3355,704.8531,1561.693,1431.524,374.518,883.5839,1350.796,717.5293,1015,833.9222,885.8272,354.0568,753.7725,687.1715,1221.918,794.9065,781.737,1420.935,838.0147,1371.548,514.8821,633.3494,776.9719,293.4918,547.8296,504.609,639.805,97.83667,649.2498,521.4762,553.7612,338.143,671.4569,728,4593.313,763.6166,731.3197,1162.957,782.5352,783.1329,1322.552,911.6886,1313.735,268.7161,809.8105,518.0809,3288.386,537.7841,510.5773,2722.182,858.3404,333.6324,845.0229,107.8029,708.5545,427.1549,859.4204,497.8516,594.0982,617.2948,377.4752,1056.867,486.8145,287.4356,665.1003,448.3989
"130",130,"Factor #130",9.6759,101,37.04348,907.4736,961.7694,1028.748,561,767,635,884.0021,1045.089,614,737,584,957.3857,898.2023,862.8246,718.7705,1409.798,511.5731,620.8096,693.7465,435.9285,1075.61,548.6227,263.0763,794.8306,696.3542,659,721.3865,714.812,1398.446,893.0811,1395.878,891.4378,426.6549,671,239.3355,704.8531,1514.517,710,374.518,926.5416,1350.796,682.7608,963,707,932.2438,354.0568,753.7725,687.1715,596,794.9065,521,822,895.7676,593,514.8821,633.3494,662,293.4918,560.6614,504.609,639.805,97.83667,649.2498,521.4762,553.7612,338.143,671.4569,1030,1086,763.6166,731.3197,1151.522,634,813.847,1322.552,911.6886,510,268.7161,809.8105,518.0809,785,537.7841,510.5773,811,858.3404,333.6324,845.0229,107.8029,708.5545,427.1549,859.4204,497.8516,594.0982,620.6856,377.4752,571,486.8145,287.4356,665.1003,448.3989
"131",128,"Factor #128",9.6764,101,37.08053,907.4736,569,977,1012,891,697,751,961,859,851,747,647,592,655,566,696,511.5731,620.8096,693.7465,435.9285,979,548.6227,263.0763,595,696.3542,1403,675,714.812,649,740,1443,786,426.6549,941,239.3355,721.4445,1138,878,374.518,727,521,564,1329,667,867,354.0568,753.7725,687.1715,1210,654,732,1360,637,998,514.8821,511,640,293.4918,560.6614,504.609,600,97.83667,649.2498,521.4762,553.7612,338.143,580,1267,1572,746,631,946,624,596,953,544,1197,268.7161,809.8105,518.0809,3164.69,537.7841,510.5773,1144,825,333.6324,665,107.8029,604,427.1549,704,497.8516,594.0982,571,377.4752,936,486.8145,287.4356,665.1003,448.3989
"132",132,"Factor #132",9.7263,101,50.17391,355.5968,396.1946,374.2264,416.528,489.0857,314.9149,444.6108,469.9151,432.4789,395.384,554.7783,385.6088,347.2253,323.7064,415.717,325.8907,259.2838,346.6387,192.1187,305.9423,677.4794,272.9279,188.9459,337.3387,149.1909,535.8728,307.7343,302.3161,301.663,259.3921,571.8779,369.0447,288.9754,682.1015,134.1788,78.34871,460.7657,470.9526,225.0832,231.3207,372.1187,434.1966,528.0765,204.4005,213.8778,68.68563,206.7916,437.7851,443.0924,453.6217,420.223,460.4568,395.3604,478.7523,195.0711,273.3232,475.2328,180.5757,272.2643,239.0149,188.2047,76.14102,146.6175,99.48573,436.459,215.7082,244.8048,207.2681,580,272.4017,341.5516,589.9942,428.9888,340.7284,944.5622,356.2615,442.6519,186.7488,315.7736,257.3895,743,295.7097,179.6998,534,260.3404,65.99568,455.2433,107.2877,309.1713,280.1003,293.9322,157.7646,271.7069,314.2938,203.8665,480.9727,316.4493,172.5226,271.7055,194.9778
