sampleID;filename;date;time
75_MB_BNeg1;Samples/75_MB_BNeg1.mzXML;2023-08-02;17:35:53
76_MB_ANeg1;Samples/76_MB_ANeg1.mzXML;2023-08-02;17:35:57
78_MB_APos0;Samples/78_MB_APos0.mzXML;2023-08-02;17:36:05
79_MB_BNeg1;Samples/79_MB_BNeg1.mzXML;2023-08-02;17:36:09
80_MB_CPos1;Samples/80_MB_CPos1.mzXML;2023-08-02;17:36:17
81_MB_BPos0;Samples/81_MB_BPos0.mzXML;2023-08-02;17:36:22
82_MB_ANeg0;Samples/82_MB_ANeg0.mzXML;2023-08-02;17:36:26
85_MB_BPos1;Samples/85_MB_BPos1.mzXML;2023-08-02;17:36:38
86_MB_CNeg1;Samples/86_MB_CNeg1.mzXML;2023-08-02;17:36:42
87_MB_BNeg2;Samples/87_MB_BNeg2.mzXML;2023-08-02;17:36:46
88_MB_CPos1;Samples/88_MB_CPos1.mzXML;2023-08-02;17:36:49
89_MB_BNeg0;Samples/89_MB_BNeg0.mzXML;2023-08-02;17:36:53
91_MB_CNeg1;Samples/91_MB_CNeg1.mzXML;2023-08-02;17:37:05
92_MB_CPos0;Samples/92_MB_CPos0.mzXML;2023-08-02;17:37:09
93_MB_BNeg0;Samples/93_MB_BNeg0.mzXML;2023-08-02;17:37:14
94_MB_ANeg0;Samples/94_MB_ANeg0.mzXML;2023-08-02;17:37:18
95_MB_BNeg2;Samples/95_MB_BNeg2.mzXML;2023-08-02;17:37:22
97_MB_ANeg2;Samples/97_MB_ANeg2.mzXML;2023-08-02;17:37:30
98_MB_CPos1;Samples/98_MB_CPos1.mzXML;2023-08-02;17:37:34
99_MB_BNeg2;Samples/99_MB_BNeg2.mzXML;2023-08-02;17:37:38
